Module,Sub_Module
Python Programming,Functions
Python Programming,OOPS
Python Programming,File handling
Python Programming,Libraries
Mathematics,Linear Algebra
Mathematics,Probability
Mathematics,Statistics
Machine Learning,Regression
Machine Learning,Classification
Machine Learning,Clustering
Deep Learning,Perceptron
Deep Learning,Activation functions
Deep Learning,Backpropagation
Deep Learning,TensorFlow
Deep Learning,PyTorch
AI Tools,OpenAI APIs
AI Tools,Chatbots
AI Tools,AI automation
Deployment,APIs
Deployment,Cloud basics
Projects,AI chatbot
Projects,Recommendation system
Projects,AI assistant
