Module,Sub_Module
Programming Language,Variables
Programming Language,Loops
Programming Language,Functions
Programming Language,OOPS
Testing Basics,Test cases
Testing Basics,Bug lifecycle
Testing Basics,Testing types
Selenium,WebDriver
Selenium,Locators
Selenium,Actions
Selenium,Waits
Test Framework,TestNG
Test Framework,Maven
Test Framework,PyTest
API Testing,REST APIs
API Testing,JSON
API Testing,HTTP methods
API Testing,Postman
CI/CD Basics,Jenkins basics
Projects,Automated login testing
Projects,Automated form testing
