Module,Sub_Module
Core Programming,Variables
Core Programming,Loops
Core Programming,Functions
Core Programming,OOPS
Core Programming,File handling
Core Programming,Error handling
Database,SQL basics
Database,Joins
Database,Group By
Database,Indexes
Database,Normalization
Backend Framework,Routing
Backend Framework,Templates
Backend Framework,APIs
Backend Framework,REST API
Backend Framework,Controllers
Backend Framework,Middleware
API Development,REST API
API Development,JSON
API Development,HTTP methods
API Development,CRUD operations
Authentication,Login system
Authentication,JWT
Authentication,Password hashing
Projects,Student management system
Projects,Login system
Projects,REST API project
