S.No,College Name,Address
1,A.U. College of Engineering for Women,"Visakhapatnam, Andhra Pradesh"
2,A1 Global Institute of Engineering and Technology,"Markapur, Prakasam District, Andhra Pradesh"
3,ABR College of Engineering and Technology,"Kanigiri, Prakasam District, Andhra Pradesh"
4,AKRG College of Engineering and Technology,"Nallajerla, West Godavari District, Andhra Pradesh"
5,AM Reddy Memorial College of Engineering and Technology,"Narasaraopet, Guntur District, Andhra Pradesh"
6,AMAKSIK College of Technology and Management,"Anakapalle, Visakhapatnam District, Andhra Pradesh"
7,ASN Women's Engineering College,"Guntur, Andhra Pradesh"
8,AVR and SVR College of Engineering and Technology,"Kurnool, Andhra Pradesh"
9,AVS College of Engineering and Technology,"Nellore, Andhra Pradesh"
10,Acharya College of Engineering,"Badvel, Kadapa District, Andhra Pradesh"
11,Acharya Nagarjuna University College of Engineering,"Guntur, Andhra Pradesh"
12,Adarsh College of Engineering,"Kakinada, East Godavari District, Andhra Pradesh"
13,Aditya College of Engineering,"Chittoor/Surampalem, Andhra Pradesh"
14,Aditya College of Engineering and Technology,"Surampalem, East Godavari District, Andhra Pradesh"
15,Aditya Engineering College,"Surampalem, East Godavari District, Andhra Pradesh"
16,Aditya Institute of Technology and Management (AITAM),"Tekkali, Srikakulam District, Andhra Pradesh"
17,Akula Sree Ramulu Institute of Engineering and Technology,"Tadepalligudem, West Godavari District, Andhra Pradesh"
18,Akula Sreeramulu College of Engineering,"Tanuku, West Godavari District, Andhra Pradesh"
19,Al Ameer College of Engineering and Information Technology,"Visakhapatnam, Andhra Pradesh"
20,Amalapuram Institute of Management Sciences and College of Engineering,"Mummidivaram, East Godavari District, Andhra Pradesh"
21,Amara Institute of Engineering and Technology,"Guntur, Andhra Pradesh"
22,Amrita Sai Institute of Science and Technology,"Krishna District, Andhra Pradesh"
23,Amrita Vishwa Vidyapeetham Amaravati Campus,"Amaravati, Andhra Pradesh"
24,Anantha Lakshmi Institute of Technology and Sciences,"Anantapur, Andhra Pradesh"
25,Andhra Engineering College,"Nellore, Andhra Pradesh"
26,Andhra Loyola Institute of Engineering and Technology (ALIET),"Vijayawada, Krishna District, Andhra Pradesh"
27,Andhra University College of Engineering,"Visakhapatnam, Andhra Pradesh"
28,Anil Neerukonda Institute of Technology and Sciences (ANITS),"Visakhapatnam, Andhra Pradesh"
29,Annamacharya Institute of Technology and Sciences,"Kadapa, Andhra Pradesh"
30,Ashoka Women's Engineering College,"Kurnool, Andhra Pradesh"
31,Atmakur Engineering College,"Nellore, Andhra Pradesh"
32,Audisankara College of Engineering and Technology,"Gudur/Nellore, Andhra Pradesh"
33,"Audisankara College of Engineering and Technology, Kodavalur","Kodavalur, Nellore District, Andhra Pradesh"
34,Audisankara College of Engineering for Women,"Gudur, Nellore District, Andhra Pradesh"
35,Audisankara Institute of Technology,"Gudur, Nellore District, Andhra Pradesh"
36,Avanthi Institute of Engineering and Technology,"Visakhapatnam/Bhogapuram, Andhra Pradesh"
37,Avanthi's Research and Technological Academy,"Bhogapuram, Vizianagaram District, Andhra Pradesh"
38,Avanthi's Research and Technological Academy Bhogapuram,"Bhogapuram, Vizianagaram District, Andhra Pradesh"
39,Avanthi's Sri Gnaneswari Research and Technological Academy for Women,"Bhogapuram, Vizianagaram District, Andhra Pradesh"
40,Avanthi's St Theressa Institute of Engineering and Technology,"Garividi, Vizianagaram District, Andhra Pradesh"
41,BIT Institute of Technology,"Hindupur, Anantapur District, Andhra Pradesh"
42,BVC College of Engineering,"Rajahmundry, East Godavari District, Andhra Pradesh"
43,BVCITS East Godavari - Bonam Venkata Chalamayya Institute of Technology and Science,"East Godavari District, Andhra Pradesh"
44,"BVCITS East Godavari - Bonam Venkata Chalamayya Institute of Technology and Science, East Godavari","East Godavari District, Andhra Pradesh"
45,Baba Institute of Technology and Sciences (BITS),"Visakhapatnam, Andhra Pradesh"
46,Badari Institute of Technology and Sciences for Women,"Kakinada, East Godavari District, Andhra Pradesh"
47,Balaji Institute of Engineering and Management Studies,"Nellore, Andhra Pradesh"
48,Bapatla Engineering College (BEC),"Bapatla, Guntur District, Andhra Pradesh"
49,Bapatla Women's Engineering College (BWEC),"Bapatla, Guntur District, Andhra Pradesh"
50,Behara College of Engineering and Technology (BCET),"Visakhapatnam, Andhra Pradesh"
51,Bharath College of Engineering and Technology for Women,"Kadapa, Andhra Pradesh"
52,Bharath Educational Society's Group of Institutions- Faculty of Engineering,"Chittoor, Andhra Pradesh"
53,Bharatiya Engineering Science and Technology Innovation University (BESTIU),"Anantapur, Andhra Pradesh"
54,Bhaskar Institute of Technology and Science,"Rayachoty, Kadapa District, Andhra Pradesh"
55,Bheema Institute of Technology and Science,"Adoni, Kurnool District, Andhra Pradesh"
56,Bhimavaram Institute of Engineering and Technology,"Bhimavaram, West Godavari District, Andhra Pradesh"
57,Bhuma Shobha Nagireddy Memorial College of Engineering and Technology,"Kurnool, Andhra Pradesh"
58,Bonam Venkata Chalamayya Engineering College,"Odalarevu/Rajahmundry, East Godavari District, Andhra Pradesh"
59,Bonam Venkata Chalamayya Institute of Technology and Science (BVCITS),"East Godavari District, Andhra Pradesh"
60,Brahmaiah College of Engineering,"Nellore, Andhra Pradesh"
61,Brahmas Institute of Engineering and Technology,"Nellore, Andhra Pradesh"
62,Brindavan Institute of Technology and Science,"Kurnool, Andhra Pradesh"
63,Buchepalli Venkayamma Subbareddy Engineering College,"Chimakurthy/Prakasam District, Andhra Pradesh"
64,Centurion University of Technology and Management,"Vizianagaram, Andhra Pradesh"
65,Chadalawada Ramanamma Engineering College (CREC),"Tirupati, Andhra Pradesh"
66,Chadalawada Venkata Subbaiah College of Engineering,"Tirupati, Andhra Pradesh"
67,Chadalawada Venkta Subbaiah College of Engineering,"Tirupati, Andhra Pradesh"
68,Chaitanya Bharathi Institute of Technology,"Cuddapah, Kadapa District, Andhra Pradesh"
69,Chaitanya Engineering College,"Bhimavaram/Visakhapatnam, Andhra Pradesh"
70,Chaitanya Institute of Science and Technology,"Madhavapatnam, Krishna District, Andhra Pradesh"
71,Chalapathi Institute of Engineering and Technology (CIET),"Guntur, Andhra Pradesh"
72,Chintalapudi Engineering College,"Guntur, Andhra Pradesh"
73,Chirala Engineering College (CEC),"Chirala, Prakasam District, Andhra Pradesh"
74,Chiranjeevi Reddy Institute of Engineering and Technology,"Anantapur, Andhra Pradesh"
75,Coastal Institute of Technology and Management,"Vizianagaram, Andhra Pradesh"
