Module,Sub_Module
Python Programming,Functions
Python Programming,Lists
Python Programming,Libraries
Mathematics,Linear Algebra
Mathematics,Matrices
Mathematics,Probability
Image Processing,Read images
Image Processing,Resize images
Image Processing,Filters
Image Processing,Edge detection
Machine Learning,Image classification
Machine Learning,Feature extraction
Deep Learning,Convolution
Deep Learning,Pooling
Deep Learning,Flattening
Deep Learning,TensorFlow
Deep Learning,PyTorch
Advanced Vision,Object detection
Advanced Vision,YOLO basics
Advanced Vision,Face recognition
Projects,Face detection
Projects,Image classifier
Projects,Object detection
