Module,Sub_Module
Testing Basics,Testing concepts
Testing Basics,Test cases
Performance Testing Concepts,Load testing
Performance Testing Concepts,Stress testing
Performance Testing Concepts,Spike testing
Performance Testing Concepts,Endurance testing
Web Basics,HTTP
Web Basics,HTTPS
Web Basics,Requests
Web Basics,Responses
JMeter,Test plans
JMeter,Thread groups
JMeter,Requests
JMeter,Reports
Server Knowledge,CPU usage
Server Knowledge,Memory usage
Server Knowledge,Response time
Monitoring Tools,Grafana basics
Projects,Website load testing
