Module,Sub_Module
Networking,Routing
Networking,Switching
Networking,Firewalls
Operating Systems,Linux advanced
Operating Systems,Windows security
Programming,Python
Programming,Scripting
Programming,Automation
Security Architecture,Network security
Security Architecture,Cloud security
Security Architecture,Encryption
Cloud Security,AWS security basics
Cloud Security,IAM
Cloud Security,Security groups
DevSecOps,Secure coding
DevSecOps,CI/CD security
Projects,Secure network setup
Projects,Security automation
