Module,Sub_Module
Design Fundamentals,Color theory
Design Fundamentals,Typography
Design Fundamentals,Spacing
Design Fundamentals,Alignment
Design Fundamentals,Contrast
Design Fundamentals,Balance
Design Fundamentals,Layout design
Design Fundamentals,White space
Design Fundamentals,Grid systems
Design Fundamentals,Visual hierarchy
Figma,Interface basics
Figma,Frames
Figma,Shapes
Figma,Text
Figma,Colors
Figma,Components
Figma,Auto layout
Other Tools,Adobe XD
Other Tools,Photoshop
UI Elements,Buttons
UI Elements,Forms
UI Elements,Cards
UI Elements,Navigation bars
UI Elements,Menus
UI Elements,Icons
Layout Design,Website layout
Layout Design,Mobile layout
Design Systems,Components
Design Systems,Style guide
Design Systems,Reusable designs
Projects,Landing page design
Projects,Mobile app design
Projects,Dashboard design
