Module,Sub_Module
UX Fundamentals,What is UX Design
UX Fundamentals,User-centered design
UX Fundamentals,UX process
UX Fundamentals,Usability principles
User Research,User interviews
User Research,Surveys
User Research,User needs
User Research,User problems
User Personas,Creating personas
User Personas,User goals
User Personas,User behavior
Wireframing,Low-fidelity wireframes
Wireframing,High-fidelity wireframes
Wireframing,Layout planning
User Flow,Navigation flow
User Flow,Screen flow
User Flow,Task flow
Prototyping,Clickable prototypes
Prototyping,Interactions
Prototyping,Animations
Usability Testing,User testing
Usability Testing,Feedback collection
Projects,App redesign project
Projects,Website UX improvement
