Module,Sub_Module
Excel (Very Important),Formulas
Excel (Very Important),Pivot Tables
Excel (Very Important),Charts
Excel (Very Important),Data cleaning
SQL,SELECT
SQL,JOIN
SQL,GROUP BY
SQL,Subqueries
Power BI (Most Important),Data Modelling
Power BI (Most Important),Relationships
Power BI (Most Important),Star schema
Power BI (Most Important),DAX
Power BI (Most Important),Calculated columns
Power BI (Most Important),Measures
Power BI (Most Important),Dashboards
Power BI (Most Important),Reports
Power BI (Most Important),Filters
Power BI (Most Important),Slicers
Business Knowledge,KPIs
Business Knowledge,Metrics
Business Knowledge,Revenue analysis
Business Knowledge,Customer analysis
Projects (Portfolio),Sales Dashboard
Projects (Portfolio),Business Dashboard
