Module,Sub_Module
Programming (Python),Functions
Programming (Python),OOPS
Programming (Python),File handling
SQL (Very Important),Joins
SQL (Very Important),CTE
SQL (Very Important),Window functions
SQL (Very Important),Indexing
Databases,MySQL
Databases,PostgreSQL
Databases,MongoDB
Data Processing (ETL),ETL Concepts
Data Processing (ETL),Extract
Data Processing (ETL),Transform
Data Processing (ETL),Load
Data Processing (ETL),Pandas ETL
Big Data Tools,Hadoop basics
Big Data Tools,Spark basics
Big Data Tools,PySpark
Cloud,AWS basics
Cloud,Storage
Cloud,Data pipelines
Projects (Portfolio),ETL pipeline
Projects (Portfolio),Data warehouse project
